"id","produit","ancien_prix","prix_actuel","remise","etat","source","date_verification","statut"
"ensileuses-19","AgriFrance Forage 480D","","","","Occasion","","","Prix sur devis — référence de démonstration"
"ensileuses-20","TerraNova Forage 600D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-21","FieldPro Forage 100E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-22","AgroMax Forage 220E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-23","Cultivance Forage 360E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-24","Horizon Farm Forage 480E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-25","AgriFrance Forage 600E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-26","TerraNova Forage 100F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-27","FieldPro Forage 220F","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"ensileuses-28","AgroMax Forage 360F","","","","Occasion","","","Prix sur devis — référence de démonstration"
"ensileuses-29","Cultivance Forage 480F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"ensileuses-30","Horizon Farm Forage 600F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-01","AgriFrance FieldSpray 100A","","","","Occasion","","","Prix sur devis — référence de démonstration"
"pulverisateurs-02","TerraNova FieldSpray 220A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-03","FieldPro FieldSpray 360A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-04","AgroMax FieldSpray 480A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-05","Cultivance FieldSpray 600A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-06","Horizon Farm FieldSpray 100B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-07","AgriFrance FieldSpray 220B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-08","TerraNova FieldSpray 360B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-09","FieldPro FieldSpray 480B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-10","AgroMax FieldSpray 600B","","","","Occasion","","","Prix sur devis — référence de démonstration"
"pulverisateurs-11","Cultivance FieldSpray 100C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-12","Horizon Farm FieldSpray 220C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-13","AgriFrance FieldSpray 360C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-14","TerraNova FieldSpray 480C","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"pulverisateurs-15","FieldPro FieldSpray 600C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-16","AgroMax FieldSpray 100D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-17","Cultivance FieldSpray 220D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-18","Horizon Farm FieldSpray 360D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-19","AgriFrance FieldSpray 480D","","","","Occasion","","","Prix sur devis — référence de démonstration"
"pulverisateurs-20","TerraNova FieldSpray 600D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-21","FieldPro FieldSpray 100E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-22","AgroMax FieldSpray 220E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-23","Cultivance FieldSpray 360E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-24","Horizon Farm FieldSpray 480E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-25","AgriFrance FieldSpray 600E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-26","TerraNova FieldSpray 100F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-27","FieldPro FieldSpray 220F","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"pulverisateurs-28","AgroMax FieldSpray 360F","","","","Occasion","","","Prix sur devis — référence de démonstration"
"pulverisateurs-29","Cultivance FieldSpray 480F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pulverisateurs-30","Horizon Farm FieldSpray 600F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-01","AgriFrance SeedMaster 100A","","","","Occasion","","","Prix sur devis — référence de démonstration"
"semoirs-02","TerraNova SeedMaster 220A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-03","FieldPro SeedMaster 360A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-04","AgroMax SeedMaster 480A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-05","Cultivance SeedMaster 600A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-06","Horizon Farm SeedMaster 100B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-07","AgriFrance SeedMaster 220B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-08","TerraNova SeedMaster 360B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-09","FieldPro SeedMaster 480B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-10","AgroMax SeedMaster 600B","","","","Occasion","","","Prix sur devis — référence de démonstration"
"semoirs-11","Cultivance SeedMaster 100C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-12","Horizon Farm SeedMaster 220C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-13","AgriFrance SeedMaster 360C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-14","TerraNova SeedMaster 480C","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"semoirs-15","FieldPro SeedMaster 600C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-16","AgroMax SeedMaster 100D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-17","Cultivance SeedMaster 220D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-18","Horizon Farm SeedMaster 360D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-19","AgriFrance SeedMaster 480D","","","","Occasion","","","Prix sur devis — référence de démonstration"
"semoirs-20","TerraNova SeedMaster 600D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-21","FieldPro SeedMaster 100E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-22","AgroMax SeedMaster 220E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-23","Cultivance SeedMaster 360E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-24","Horizon Farm SeedMaster 480E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-25","AgriFrance SeedMaster 600E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-26","TerraNova SeedMaster 100F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-27","FieldPro SeedMaster 220F","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"semoirs-28","AgroMax SeedMaster 360F","","","","Occasion","","","Prix sur devis — référence de démonstration"
"semoirs-29","Cultivance SeedMaster 480F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"semoirs-30","Horizon Farm SeedMaster 600F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-01","AgriFrance BalePro 100A","","","","Occasion","","","Prix sur devis — référence de démonstration"
"presses-balles-02","TerraNova BalePro 220A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-03","FieldPro BalePro 360A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-04","AgroMax BalePro 480A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-05","Cultivance BalePro 600A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-06","Horizon Farm BalePro 100B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-07","AgriFrance BalePro 220B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-08","TerraNova BalePro 360B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-09","FieldPro BalePro 480B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-10","AgroMax BalePro 600B","","","","Occasion","","","Prix sur devis — référence de démonstration"
"presses-balles-11","Cultivance BalePro 100C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-12","Horizon Farm BalePro 220C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-13","AgriFrance BalePro 360C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-14","TerraNova BalePro 480C","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"presses-balles-15","FieldPro BalePro 600C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-16","AgroMax BalePro 100D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-17","Cultivance BalePro 220D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-18","Horizon Farm BalePro 360D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-19","AgriFrance BalePro 480D","","","","Occasion","","","Prix sur devis — référence de démonstration"
"presses-balles-20","TerraNova BalePro 600D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-21","FieldPro BalePro 100E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-22","AgroMax BalePro 220E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-23","Cultivance BalePro 360E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-24","Horizon Farm BalePro 480E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-25","AgriFrance BalePro 600E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-26","TerraNova BalePro 100F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-27","FieldPro BalePro 220F","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"presses-balles-28","AgroMax BalePro 360F","","","","Occasion","","","Prix sur devis — référence de démonstration"
"presses-balles-29","Cultivance BalePro 480F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"presses-balles-30","Horizon Farm BalePro 600F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-01","AgriFrance LoadMax 100A","","","","Occasion","","","Prix sur devis — référence de démonstration"
"chargeurs-02","TerraNova LoadMax 220A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-03","FieldPro LoadMax 360A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-04","AgroMax LoadMax 480A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-05","Cultivance LoadMax 600A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-06","Horizon Farm LoadMax 100B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-07","AgriFrance LoadMax 220B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-08","TerraNova LoadMax 360B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-09","FieldPro LoadMax 480B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-10","AgroMax LoadMax 600B","","","","Occasion","","","Prix sur devis — référence de démonstration"
"chargeurs-11","Cultivance LoadMax 100C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-12","Horizon Farm LoadMax 220C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-13","AgriFrance LoadMax 360C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-14","TerraNova LoadMax 480C","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"chargeurs-15","FieldPro LoadMax 600C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-16","AgroMax LoadMax 100D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-17","Cultivance LoadMax 220D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-18","Horizon Farm LoadMax 360D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-19","AgriFrance LoadMax 480D","","","","Occasion","","","Prix sur devis — référence de démonstration"
"chargeurs-20","TerraNova LoadMax 600D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-21","FieldPro LoadMax 100E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-22","AgroMax LoadMax 220E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-23","Cultivance LoadMax 360E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-24","Horizon Farm LoadMax 480E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-25","AgriFrance LoadMax 600E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-26","TerraNova LoadMax 100F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-27","FieldPro LoadMax 220F","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"chargeurs-28","AgroMax LoadMax 360F","","","","Occasion","","","Prix sur devis — référence de démonstration"
"chargeurs-29","Cultivance LoadMax 480F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"chargeurs-30","Horizon Farm LoadMax 600F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-01","AgriFrance SoilPro 100A","","","","Occasion","","","Prix sur devis — référence de démonstration"
"travail-sol-02","TerraNova SoilPro 220A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-03","FieldPro SoilPro 360A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-04","AgroMax SoilPro 480A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-05","Cultivance SoilPro 600A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-06","Horizon Farm SoilPro 100B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-07","AgriFrance SoilPro 220B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-08","TerraNova SoilPro 360B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-09","FieldPro SoilPro 480B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-10","AgroMax SoilPro 600B","","","","Occasion","","","Prix sur devis — référence de démonstration"
"travail-sol-11","Cultivance SoilPro 100C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-12","Horizon Farm SoilPro 220C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-13","AgriFrance SoilPro 360C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-14","TerraNova SoilPro 480C","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"travail-sol-15","FieldPro SoilPro 600C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-16","AgroMax SoilPro 100D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-17","Cultivance SoilPro 220D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-18","Horizon Farm SoilPro 360D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-19","AgriFrance SoilPro 480D","","","","Occasion","","","Prix sur devis — référence de démonstration"
"travail-sol-20","TerraNova SoilPro 600D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-21","FieldPro SoilPro 100E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-22","AgroMax SoilPro 220E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-23","Cultivance SoilPro 360E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-24","Horizon Farm SoilPro 480E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-25","AgriFrance SoilPro 600E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-26","TerraNova SoilPro 100F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-27","FieldPro SoilPro 220F","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"travail-sol-28","AgroMax SoilPro 360F","","","","Occasion","","","Prix sur devis — référence de démonstration"
"travail-sol-29","Cultivance SoilPro 480F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"travail-sol-30","Horizon Farm SoilPro 600F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-01","AgriFrance CropFlow 100A","","","","Occasion","","","Prix sur devis — référence de démonstration"
"equipements-recolte-02","TerraNova CropFlow 220A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-03","FieldPro CropFlow 360A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-04","AgroMax CropFlow 480A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-05","Cultivance CropFlow 600A","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-06","Horizon Farm CropFlow 100B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-07","AgriFrance CropFlow 220B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-08","TerraNova CropFlow 360B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-09","FieldPro CropFlow 480B","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-10","AgroMax CropFlow 600B","","","","Occasion","","","Prix sur devis — référence de démonstration"
"equipements-recolte-11","Cultivance CropFlow 100C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-12","Horizon Farm CropFlow 220C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-13","AgriFrance CropFlow 360C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-14","TerraNova CropFlow 480C","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"equipements-recolte-15","FieldPro CropFlow 600C","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-16","AgroMax CropFlow 100D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-17","Cultivance CropFlow 220D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-18","Horizon Farm CropFlow 360D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-19","AgriFrance CropFlow 480D","","","","Occasion","","","Prix sur devis — référence de démonstration"
"equipements-recolte-20","TerraNova CropFlow 600D","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-21","FieldPro CropFlow 100E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-22","AgroMax CropFlow 220E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-23","Cultivance CropFlow 360E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-24","Horizon Farm CropFlow 480E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-25","AgriFrance CropFlow 600E","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-26","TerraNova CropFlow 100F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-27","FieldPro CropFlow 220F","","","","Reconditionné","","","Prix sur devis — référence de démonstration"
"equipements-recolte-28","AgroMax CropFlow 360F","","","","Occasion","","","Prix sur devis — référence de démonstration"
"equipements-recolte-29","Cultivance CropFlow 480F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"equipements-recolte-30","Horizon Farm CropFlow 600F","","","","Neuf","","","Prix sur devis — référence de démonstration"
"pieces-accessoires-01","AgriFrance AgriParts 100A","","","","Occasion","","","Prix sur devis — référence de démonstration"
